commence_time,home_team,away_team,bookmaker,market_type,name,price,point,price_normalized,point_normalized,home_team_encoded,away_team_encoded,market_type_encoded,bookmaker_encoded
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,DraftKings,spreads,Pittsburgh Steelers,1.87,7.0,0.10646900269541779,0.32575757575757575,1,23,1,5
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,DraftKings,totals,Over,1.89,44.5,0.10916442048517513,0.893939393939394,1,23,2,5
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,DraftKings,totals,Under,1.93,44.5,0.11455525606469,0.893939393939394,1,23,2,5
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetUS,h2h,Baltimore Ravens,1.33,0.0,0.03369272237196763,0.2196969696969697,1,23,0,3
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetUS,h2h,Pittsburgh Steelers,3.5,0.0,0.3261455525606468,0.2196969696969697,1,23,0,3
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetUS,spreads,Baltimore Ravens,1.95,-7.0,0.1172506738544474,0.11363636363636363,1,23,1,3
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetUS,spreads,Pittsburgh Steelers,1.87,7.0,0.10646900269541779,0.32575757575757575,1,23,1,3
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetUS,totals,Over,1.87,44.5,0.10646900269541779,0.893939393939394,1,23,2,3
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetUS,totals,Under,1.95,44.5,0.1172506738544474,0.893939393939394,1,23,2,3
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,FanDuel,h2h,Baltimore Ravens,1.3,0.0,0.029649595687331526,0.2196969696969697,1,23,0,6
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,FanDuel,h2h,Pittsburgh Steelers,3.65,0.0,0.3463611859838275,0.2196969696969697,1,23,0,6
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,FanDuel,spreads,Baltimore Ravens,1.98,-7.0,0.12129380053908353,0.11363636363636363,1,23,1,6
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,FanDuel,spreads,Pittsburgh Steelers,1.83,7.0,0.10107816711590295,0.32575757575757575,1,23,1,6
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,FanDuel,totals,Over,1.91,44.5,0.1118598382749326,0.893939393939394,1,23,2,6
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,FanDuel,totals,Under,1.91,44.5,0.1118598382749326,0.893939393939394,1,23,2,6
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,MyBookie.ag,h2h,Baltimore Ravens,1.31,0.0,0.030997304582210228,0.2196969696969697,1,23,0,8
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,MyBookie.ag,h2h,Pittsburgh Steelers,3.48,0.0,0.32345013477088946,0.2196969696969697,1,23,0,8
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,MyBookie.ag,spreads,Baltimore Ravens,1.87,-6.5,0.10646900269541779,0.12121212121212122,1,23,1,8
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,MyBookie.ag,spreads,Pittsburgh Steelers,1.95,6.5,0.1172506738544474,0.3181818181818182,1,23,1,8
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,MyBookie.ag,totals,Over,1.91,44.5,0.1118598382749326,0.893939393939394,1,23,2,8
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,MyBookie.ag,totals,Under,1.91,44.5,0.1118598382749326,0.893939393939394,1,23,2,8
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,LowVig.ag,h2h,Baltimore Ravens,1.3,0.0,0.029649595687331526,0.2196969696969697,1,23,0,7
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,LowVig.ag,h2h,Pittsburgh Steelers,3.75,0.0,0.35983827493261455,0.2196969696969697,1,23,0,7
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,LowVig.ag,spreads,Baltimore Ravens,2.0,-7.0,0.12398921832884094,0.11363636363636363,1,23,1,7
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,LowVig.ag,spreads,Pittsburgh Steelers,1.88,7.0,0.10781671159029646,0.32575757575757575,1,23,1,7
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,LowVig.ag,totals,Over,1.88,44.5,0.10781671159029646,0.893939393939394,1,23,2,7
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,LowVig.ag,totals,Under,1.98,44.5,0.12129380053908353,0.893939393939394,1,23,2,7
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetOnline.ag,h2h,Baltimore Ravens,1.3,0.0,0.029649595687331526,0.2196969696969697,1,23,0,1
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetOnline.ag,h2h,Pittsburgh Steelers,3.75,0.0,0.35983827493261455,0.2196969696969697,1,23,0,1
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetOnline.ag,spreads,Baltimore Ravens,1.96,-7.0,0.11859838274932613,0.11363636363636363,1,23,1,1
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetOnline.ag,spreads,Pittsburgh Steelers,1.86,7.0,0.10512129380053906,0.32575757575757575,1,23,1,1
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetOnline.ag,totals,Over,1.87,44.5,0.10646900269541779,0.893939393939394,1,23,2,1
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetOnline.ag,totals,Under,1.95,44.5,0.1172506738544474,0.893939393939394,1,23,2,1
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetRivers,h2h,Baltimore Ravens,1.32,0.0,0.03234501347708893,0.2196969696969697,1,23,0,2
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetRivers,h2h,Pittsburgh Steelers,3.45,0.0,0.31940700808625333,0.2196969696969697,1,23,0,2
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetRivers,spreads,Baltimore Ravens,1.93,-7.0,0.11455525606469,0.11363636363636363,1,23,1,2
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetRivers,spreads,Pittsburgh Steelers,1.87,7.0,0.10646900269541779,0.32575757575757575,1,23,1,2
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetRivers,totals,Over,1.88,44.5,0.10781671159029646,0.893939393939394,1,23,2,2
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetRivers,totals,Under,1.93,44.5,0.11455525606469,0.893939393939394,1,23,2,2
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetMGM,h2h,Baltimore Ravens,1.33,0.0,0.03369272237196763,0.2196969696969697,1,23,0,0
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetMGM,h2h,Pittsburgh Steelers,3.4,0.0,0.31266846361185974,0.2196969696969697,1,23,0,0
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetMGM,spreads,Baltimore Ravens,1.87,-6.5,0.10646900269541779,0.12121212121212122,1,23,1,0
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetMGM,spreads,Pittsburgh Steelers,1.95,6.5,0.1172506738544474,0.3181818181818182,1,23,1,0
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetMGM,totals,Over,1.87,44.5,0.10646900269541779,0.893939393939394,1,23,2,0
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,BetMGM,totals,Under,1.95,44.5,0.1172506738544474,0.893939393939394,1,23,2,0
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,Bovada,h2h,Baltimore Ravens,1.3,0.0,0.029649595687331526,0.2196969696969697,1,23,0,4
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,Bovada,h2h,Pittsburgh Steelers,3.65,0.0,0.3463611859838275,0.2196969696969697,1,23,0,4
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,Bovada,spreads,Baltimore Ravens,1.95,-7.0,0.1172506738544474,0.11363636363636363,1,23,1,4
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,Bovada,spreads,Pittsburgh Steelers,1.87,7.0,0.10646900269541779,0.32575757575757575,1,23,1,4
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,Bovada,totals,Over,1.95,44.5,0.1172506738544474,0.893939393939394,1,23,2,4
2024-12-21 21:31:00+00:00,Baltimore Ravens,Pittsburgh Steelers,Bovada,totals,Under,1.87,44.5,0.10646900269541779,0.893939393939394,1,23,2,4
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,FanDuel,h2h,Cincinnati Bengals,1.22,0.0,0.018867924528301855,0.2196969696969697,5,4,0,6
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,FanDuel,h2h,Cleveland Browns,4.6,0.0,0.4743935309973045,0.2196969696969697,5,4,0,6
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,FanDuel,spreads,Cincinnati Bengals,1.87,-8.5,0.10646900269541779,0.09090909090909091,5,4,1,6
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,FanDuel,spreads,Cleveland Browns,1.95,8.5,0.1172506738544474,0.3484848484848485,5,4,1,6
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,FanDuel,totals,Over,1.87,46.5,0.10646900269541779,0.9242424242424243,5,4,2,6
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,FanDuel,totals,Under,1.95,46.5,0.1172506738544474,0.9242424242424243,5,4,2,6
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,DraftKings,h2h,Cincinnati Bengals,1.22,0.0,0.018867924528301855,0.2196969696969697,5,4,0,5
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,DraftKings,h2h,Cleveland Browns,4.5,0.0,0.46091644204851745,0.2196969696969697,5,4,0,5
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,DraftKings,spreads,Cincinnati Bengals,1.89,-8.5,0.10916442048517513,0.09090909090909091,5,4,1,5
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,DraftKings,spreads,Cleveland Browns,1.93,8.5,0.11455525606469,0.3484848484848485,5,4,1,5
2024-12-22 18:00:00+00:00,Cincinnati Bengals,Cleveland Browns,DraftKings,totals,Over,1.89,46.5,0.10916442048517513,0.9242424242424243,5,4,2,5
