player,position,date,status,details
Paolo Banchero,PF,Dec 26,Out,"Dec 13: Coach Jamahl Mosley said Friday that Banchero (oblique) did some conditioning and ball handling drills during Friday's practice, Philip Rossman-Reich of OrlandoMagicDaily.com reports."
Franz Wagner,SF,Jan 5,Out,"Dec 7: Wagner (oblique) tore his right oblique during Friday's 102-94 loss to the 76ers and will be re-evaluated in four weeks, Shams Charania of ESPN reports."
N/A,N/A,N/A,N/A,N/A
Joel Embiid,C,Dec 23,Out,"Dec 16: The 76ers announced Monday that Embiid (sinus fracture) will be re-evaluated in one week, Ky Carlin of USA Today reports."
Adem Bona,C,Dec 20,Out,Dec 15: Bona (knee) has been ruled out for Monday's game against the Hornets.
Caleb Martin,SF,Dec 20,Out,Dec 15: Martin (shoulder) has been ruled out for Monday's game against the Hornets.
Jared McCain,G,Feb 20,Out,"Dec 14: The 76ers announced Saturday that following Friday's game versus the Pacers, an MRI revealed a lateral meniscus tear in McCain's left knee. The rookie guard will undergo surgery and is out indefinitely, Jake Fischer of Yahoo Sports reports."
N/A,N/A,N/A,N/A,N/A
Bradley Beal,SG,Dec 19,Out,"Dec 16: Beal (knee) is out for Sunday's game against the Trail Blazers, Gerald Bourguet of GoPHNX.com reports."
Collin Gillespie,G,Dec 19,Out,"Nov 12: Gillespie suffered a right ankle fracture and will be re-evaluated in four weeks, Shane Young of Forbes.com reports."
N/A,N/A,N/A,N/A,N/A
Taze Moore,G,Dec 19,Day-To-Day,"Dec 16: The Trail Blazers signed Moore to a two-way contract Friday, Adrian Wojnarowski of ESPN reports."
Bryce McGowens,G,Dec 19,Day-To-Day,"Dec 16: McGowens finished with 37 points (11-25 FG, 2-8 3Pt, 8-9 FT), seven rebounds, three assists, one steal and one block across 39 minutes in Monday's 112-109 G League loss to the Santa Cruz Warriors."
Deandre Ayton,C,Dec 19,Day-To-Day,"Dec 16: Ayton (illness) is out for Sunday's game against the Suns, Sean Highkin of Rip City Radio 620 Portland reports."
Matisse Thybulle,SG,Jan 2,Out,Nov 26: The Trail Blazers announced Tuesday that Thybulle suffered a Grade 2 right ankle sprain while ramping up in an effort to return to the court and is expected to miss 3-6 weeks.
N/A,N/A,N/A,N/A,N/A
Keegan Murray,SF,Dec 19,Out,"Dec 16: Murray (ankle) has been ruled out for Monday's game against the Nuggets, Frankie Cartoscelli of KHTK Sactown Sports 1140 reports."
Kevin Huerter,SG,Dec 19,Out,Dec 16: Huerter (shoulder) won't play Monday against the Nuggets.
Trey Lyles,PF,Dec 19,Out,"Nov 26: The Kings announced Tuesday that Lyles has suffered a Grade 1 right calf strain and will re-evaluated in 3-4 weeks, Frankie Cartoscelli of KHTK Sactown Sports 1140 reports."
N/A,N/A,N/A,N/A,N/A
Keldon Johnson,SF,Dec 19,Day-To-Day,"Dec 16: Johnson (calf) is out for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
Zach Collins,PF,Dec 19,Day-To-Day,"Dec 15: Collins (back) has been ruled out for Sunday's game against the Timberwolves, independent NBA writer Matthew Tynan reports."
Tre Jones,PG,Dec 19,Out,"Dec 15: Jones (shoulder) has been ruled out for Sunday's game against the Timberwolves, independent NBA writer Matthew Tynan reports."
N/A,N/A,N/A,N/A,N/A
Jamison Battle,F,Dec 19,Out,Dec 16: Battle (ankle) is listed as out for Monday's game against the Bulls.
Bruce Brown,SF,Dec 19,Out,"Dec 15: Brown (knee/conditioning) won't play Monday against the Bulls, Blake Murphy of Sportsnet.ca reports."
Immanuel Quickley,SG,Jan 3,Out,"Dec 15: Quickley (elbow) has begun incorporating his left arm into recent workouts, but he's still not ready for full-contact drills, Aaron Rose of SI.com reports."
Scottie Barnes,SF,Jan 3,Out,"Dec 15: Barnes (ankle) is out of his walking boot and was moving without restriction during the non-contact parts of Sunday's practice, Aaron Rose of SI.com reports."
N/A,N/A,N/A,N/A,N/A
Jordan Clarkson,PG,Dec 16,Day-To-Day,Dec 16: Clarkson (foot) has been upgraded to probable for Monday's game against the Clippers.
Svi Mykhailiuk,SG,Dec 19,Out,Dec 15: Mykhailiuk (groin) is out for Monday's game against the Clippers.
Taylor Hendricks,F,Oct 1,Out,"Nov 6: Hendricks underwent surgery on his broken right leg and dislocated ankle Wednesday, Andy Larsen of The Salt Lake Tribune reports."
N/A,N/A,N/A,N/A,N/A
Corey Kispert,SF,Dec 19,Out,Dec 14: Kispert (ankle) is out for Sunday's game against the Celtics.
Kyshawn George,F,Dec 19,Out,Dec 14: George (ankle) won't play in Sunday's game versus the Celtics.
Kyle Kuzma,SF,Dec 19,Out,Dec 14: Kuzma (ribs) is out for Sunday's game against the Celtics.
Malcolm Brogdon,PG,Dec 19,Out,Dec 14: Brogdon (hamstring) is out for Sunday's game against the Celtics.
Saddiq Bey,SF,Jan 12,Out,"Oct 15: Coach Brain Keefe said Tuesday that Bey (knee) doesn't have a return timetable, Varun Shankar of The Washington Post reports."
