Name,Height,Weight,Reach,Stance,Wins,Losses,Draws
Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3
Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3
Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2
Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20
Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6
Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2
Felty,,--,170 lbs.,--,,4,5
Pengchao,,--,135 lbs.,--,,15,9
Xiaocan,,"5' 7""",115 lbs.,"66.0""",Southpaw,10,3
Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2
Gabert,,--,178 lbs.,--,,6,4
Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13,1
Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5
Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18,13
Gadzhiyasulov,,"6' 2""",205 lbs.,"75.0""",Orthodox,9,0
Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,25,5
Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9,7
Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Southpaw,19,6
Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5
Gaines,,"6' 3""",185 lbs.,--,,5,21
Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18,7
Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5,1
Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11,9
Gall,,"6' 2""",170 lbs.,"74.0""",Switch,7,7
Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7,3
Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,19,10
Galloway,,"5' 3""",145 lbs.,--,,8,6
Galvan,,--,155 lbs.,--,,0,0
Galvao,,"5' 7""",168 lbs.,--,Orthodox,5,2
Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,18,8
Gamaza,,--,170 lbs.,--,,8,4
Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,9,2
Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10
Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,24,3
Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,14,1
Hackett,Hammer,"5' 4""",125 lbs.,"66.0""",Switch,3,1
Hackney,The Giant Killer,"5' 11""",200 lbs.,--,Sideways,2,2
Haddon,,"5' 7""",135 lbs.,"69.0""",Orthodox,8,1
Hadley,White Kong,"5' 7""",135 lbs.,"70.0""",Southpaw,11,4
Hadsel,,"5' 8""",170 lbs.,--,,3,0
Hadzovic,The Bosnian Bomber,"5' 9""",155 lbs.,"70.0""",Orthodox,14,7
Hafez,The Habibi,"5' 11""",170 lbs.,"72.0""",Orthodox,9,4
Hague,The Trashing Machine,"6' 4""",260 lbs.,"76.0""",Orthodox,21,13
Hajeh,Yazzle Dazzle,"5' 9""",145 lbs.,--,Orthodox,6,1
Hale,The Skuller,"6' 0""",--,--,,5,3
