player,position,date,status,details
Trey Lyles,PF,Dec 19,Out,"Nov 26: The Kings announced Tuesday that Lyles has suffered a Grade 1 right calf strain and will re-evaluated in 3-4 weeks, Frankie Cartoscelli of KHTK Sactown Sports 1140 reports."
N/A,N/A,N/A,N/A,N/A
Zach Collins,PF,Dec 15,Day-To-Day,"Dec 14: Collins (back) is doubtful for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
Tre Jones,PG,Dec 15,Out,"Dec 14: Jones (shoulder) is questionable for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
Stephon Castle,G,Dec 15,Day-To-Day,"Dec 14: Castle (shoulder) is questionable for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
Keldon Johnson,SF,Dec 19,Out,"Dec 14: Johnson (calf) is out for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
N/A,N/A,N/A,N/A,N/A
Bruce Brown,SF,Dec 19,Out,"Dec 15: Brown (knee/conditioning) won't play Monday against the Bulls, Blake Murphy of Sportsnet.ca reports."
Jamison Battle,F,Dec 19,Out,"Dec 15: Battle registered 24 points (9-11 FG, 6-8 3Pt), one rebound, three assists, one block and one steal over 22 minutes off the bench during Wednesday's 119-93 win over the Pelicans."
Immanuel Quickley,SG,Jan 3,Out,"Dec 15: Quickley (elbow) has begun incorporating his left arm into recent workouts, but he's still not ready for full-contact drills, Aaron Rose of SI.com reports."
Scottie Barnes,SF,Jan 3,Out,"Dec 15: Barnes (ankle) is out of his walking boot and was moving without restriction during the non-contact parts of Sunday's practice, Aaron Rose of SI.com reports."
N/A,N/A,N/A,N/A,N/A
Svi Mykhailiuk,SG,Dec 16,Day-To-Day,Dec 14: Mykhailiuk is out for Friday's game against the Suns due to a left groin strain.
Taylor Hendricks,F,Oct 1,Out,"Nov 6: Hendricks underwent surgery on his broken right leg and dislocated ankle Wednesday, Andy Larsen of The Salt Lake Tribune reports."
N/A,N/A,N/A,N/A,N/A
Corey Kispert,SF,Dec 19,Out,Dec 14: Kispert (ankle) is out for Sunday's game against the Celtics.
Kyshawn George,F,Dec 19,Out,Dec 14: George (ankle) won't play in Sunday's game versus the Celtics.
Kyle Kuzma,SF,Dec 19,Out,Dec 14: Kuzma (ribs) is out for Sunday's game against the Celtics.
Malcolm Brogdon,PG,Dec 19,Out,Dec 14: Brogdon (hamstring) is out for Sunday's game against the Celtics.
Tristan Vukcevic,PF,Dec 15,Out,Dec 8: Vukcevic (knee) is listed out for Sunday's game against the Grizzlies.
Saddiq Bey,SF,Jan 12,Out,"Oct 15: Coach Brain Keefe said Tuesday that Bey (knee) doesn't have a return timetable, Varun Shankar of The Washington Post reports."
