commence_time,home_team,away_team,bookmaker,market_type,name,price,point
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetOnline.ag,h2h,Miami Dolphins,1.95,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetOnline.ag,h2h,San Francisco 49ers,1.87,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetOnline.ag,spreads,Miami Dolphins,1.91,1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetOnline.ag,spreads,San Francisco 49ers,1.91,-1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetOnline.ag,totals,Over,1.91,44.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetOnline.ag,totals,Under,1.91,44.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,LowVig.ag,h2h,Miami Dolphins,2.05,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,LowVig.ag,h2h,San Francisco 49ers,1.8,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,LowVig.ag,spreads,Miami Dolphins,1.87,2.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,LowVig.ag,spreads,San Francisco 49ers,2.04,-2.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,LowVig.ag,totals,Over,1.93,44.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,LowVig.ag,totals,Under,1.93,44.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetRivers,h2h,Miami Dolphins,1.81,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetRivers,h2h,San Francisco 49ers,1.93,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetRivers,spreads,Miami Dolphins,1.85,-1.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetRivers,spreads,San Francisco 49ers,1.88,1.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetRivers,totals,Over,1.85,42.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetRivers,totals,Under,1.88,42.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetUS,h2h,Miami Dolphins,2.05,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetUS,h2h,San Francisco 49ers,1.8,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetUS,spreads,Miami Dolphins,1.95,1.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetUS,spreads,San Francisco 49ers,1.87,-1.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetUS,totals,Over,1.91,44.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetUS,totals,Under,1.91,44.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetMGM,h2h,Miami Dolphins,2.0,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetMGM,h2h,San Francisco 49ers,1.8,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetMGM,spreads,Miami Dolphins,1.87,1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetMGM,spreads,San Francisco 49ers,1.87,-1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetMGM,totals,Over,1.83,43.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,BetMGM,totals,Under,1.91,43.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,Bovada,h2h,Miami Dolphins,2.1,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,Bovada,h2h,San Francisco 49ers,1.77,
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,Bovada,spreads,Miami Dolphins,2.0,1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,Bovada,spreads,San Francisco 49ers,1.83,-1.5
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,Bovada,totals,Over,1.91,44.0
2024-12-22T21:25:38Z,Miami Dolphins,San Francisco 49ers,Bovada,totals,Under,1.91,44.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,DraftKings,h2h,Jacksonville Jaguars,1.83,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,DraftKings,h2h,Las Vegas Raiders,1.91,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,DraftKings,spreads,Jacksonville Jaguars,1.91,-1.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,DraftKings,spreads,Las Vegas Raiders,1.83,1.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,DraftKings,totals,Over,1.83,39.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,DraftKings,totals,Under,1.91,39.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetUS,h2h,Jacksonville Jaguars,2.15,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetUS,h2h,Las Vegas Raiders,1.74,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetUS,spreads,Jacksonville Jaguars,2.05,1.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetUS,spreads,Las Vegas Raiders,1.8,-1.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetUS,totals,Over,1.91,42.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetUS,totals,Under,1.91,42.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,FanDuel,h2h,Jacksonville Jaguars,2.0,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,FanDuel,h2h,Las Vegas Raiders,1.78,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,FanDuel,spreads,Jacksonville Jaguars,1.8,2.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,FanDuel,spreads,Las Vegas Raiders,1.96,-2.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,FanDuel,totals,Over,1.93,41.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,FanDuel,totals,Under,1.83,41.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,MyBookie.ag,h2h,Jacksonville Jaguars,2.0,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,MyBookie.ag,h2h,Las Vegas Raiders,1.8,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,MyBookie.ag,spreads,Jacksonville Jaguars,1.9,1.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,MyBookie.ag,spreads,Las Vegas Raiders,1.9,-1.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,MyBookie.ag,totals,Over,1.95,40.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,MyBookie.ag,totals,Under,1.8,40.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetOnline.ag,h2h,Jacksonville Jaguars,2.15,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetOnline.ag,h2h,Las Vegas Raiders,1.74,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetOnline.ag,spreads,Jacksonville Jaguars,1.87,2.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetOnline.ag,spreads,Las Vegas Raiders,1.95,-2.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetOnline.ag,totals,Over,1.88,41.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetOnline.ag,totals,Under,1.93,41.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,LowVig.ag,h2h,Jacksonville Jaguars,2.15,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,LowVig.ag,h2h,Las Vegas Raiders,1.74,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,LowVig.ag,spreads,Jacksonville Jaguars,2.02,1.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,LowVig.ag,spreads,Las Vegas Raiders,1.88,-1.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,LowVig.ag,totals,Over,1.91,41.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,LowVig.ag,totals,Under,1.96,41.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetRivers,h2h,Jacksonville Jaguars,1.91,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetRivers,h2h,Las Vegas Raiders,1.85,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetRivers,spreads,Jacksonville Jaguars,1.85,1.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetRivers,spreads,Las Vegas Raiders,1.88,-1.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetRivers,totals,Over,1.83,40.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetRivers,totals,Under,1.89,40.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetMGM,h2h,Jacksonville Jaguars,1.91,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetMGM,h2h,Las Vegas Raiders,1.87,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetMGM,spreads,Jacksonville Jaguars,1.8,1.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetMGM,spreads,Las Vegas Raiders,1.95,-1.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetMGM,totals,Over,1.8,40.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,BetMGM,totals,Under,1.95,40.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,Bovada,h2h,Jacksonville Jaguars,2.15,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,Bovada,h2h,Las Vegas Raiders,1.74,
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,Bovada,spreads,Jacksonville Jaguars,1.91,2.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,Bovada,spreads,Las Vegas Raiders,1.91,-2.0
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,Bovada,totals,Over,1.91,41.5
2024-12-22T21:26:00Z,Las Vegas Raiders,Jacksonville Jaguars,Bovada,totals,Under,1.91,41.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,DraftKings,h2h,Buffalo Bills,1.08,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,DraftKings,h2h,New England Patriots,8.0,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,DraftKings,spreads,Buffalo Bills,1.8,-13.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,DraftKings,spreads,New England Patriots,1.95,13.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,DraftKings,totals,Over,1.83,50.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,DraftKings,totals,Under,1.91,50.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,FanDuel,h2h,Buffalo Bills,1.12,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,FanDuel,h2h,New England Patriots,6.0,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,FanDuel,spreads,Buffalo Bills,1.98,-12.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,FanDuel,spreads,New England Patriots,1.78,12.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,FanDuel,totals,Over,1.74,48.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,FanDuel,totals,Under,2.04,48.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,MyBookie.ag,h2h,Buffalo Bills,1.12,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,MyBookie.ag,h2h,New England Patriots,6.25,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,MyBookie.ag,spreads,Buffalo Bills,1.7,-13.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,MyBookie.ag,spreads,New England Patriots,1.9,13.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,MyBookie.ag,totals,Over,1.9,47.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,MyBookie.ag,totals,Under,1.8,47.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,LowVig.ag,h2h,Buffalo Bills,1.08,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,LowVig.ag,h2h,New England Patriots,8.9,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,LowVig.ag,spreads,Buffalo Bills,1.96,-14.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,LowVig.ag,spreads,New England Patriots,1.94,14.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,LowVig.ag,totals,Over,1.93,48.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,LowVig.ag,totals,Under,1.93,48.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetOnline.ag,h2h,Buffalo Bills,1.08,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetOnline.ag,h2h,New England Patriots,8.9,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetOnline.ag,spreads,Buffalo Bills,1.9,-14.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetOnline.ag,spreads,New England Patriots,1.92,14.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetOnline.ag,totals,Over,1.91,48.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetOnline.ag,totals,Under,1.91,48.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetRivers,h2h,Buffalo Bills,1.12,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetRivers,h2h,New England Patriots,5.6,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetRivers,spreads,Buffalo Bills,1.88,-14.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetRivers,spreads,New England Patriots,1.83,14.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetRivers,totals,Over,1.85,50.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetRivers,totals,Under,1.87,50.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetUS,h2h,Buffalo Bills,1.08,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetUS,h2h,New England Patriots,8.8,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetUS,spreads,Buffalo Bills,1.87,-14.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetUS,spreads,New England Patriots,1.95,14.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetUS,totals,Over,1.87,48.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetUS,totals,Under,1.95,48.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetMGM,h2h,Buffalo Bills,1.12,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetMGM,h2h,New England Patriots,6.25,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetMGM,spreads,Buffalo Bills,1.87,-13.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetMGM,spreads,New England Patriots,1.91,13.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetMGM,totals,Over,1.83,49.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,BetMGM,totals,Under,1.91,49.5
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,Bovada,h2h,Buffalo Bills,1.13,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,Bovada,h2h,New England Patriots,5.5,
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,Bovada,spreads,Buffalo Bills,1.83,-11.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,Bovada,spreads,New England Patriots,1.91,11.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,Bovada,totals,Over,1.87,51.0
2024-12-22T21:27:00Z,Buffalo Bills,New England Patriots,Bovada,totals,Under,1.87,51.0
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,DraftKings,h2h,Dallas Cowboys,2.7,
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,DraftKings,h2h,Tampa Bay Buccaneers,1.49,
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,DraftKings,spreads,Dallas Cowboys,1.91,4.0
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,DraftKings,spreads,Tampa Bay Buccaneers,1.91,-4.0
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,DraftKings,totals,Over,1.93,47.5
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,DraftKings,totals,Under,1.89,47.5
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,FanDuel,h2h,Dallas Cowboys,2.76,
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,FanDuel,h2h,Tampa Bay Buccaneers,1.48,
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,FanDuel,spreads,Dallas Cowboys,1.96,3.5
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,FanDuel,spreads,Tampa Bay Buccaneers,1.85,-3.5
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,FanDuel,totals,Over,1.91,47.5
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,FanDuel,totals,Under,1.91,47.5
2024-12-23T01:21:00Z,Dallas Cowboys,Tampa Bay Buccaneers,MyBookie.ag,h2h,Dallas Cowboys,2.68,
