team,player,position,injury,status
N/A,Cody Ford,G,"Dec 15: Ford is inactive for Sunday's game against the Titans due to an illness, Paul Dehner Jr. of The Athletic reports.",Out
N/A,Logan Woodside,QB,Dec 15: Woodside (coach's decision) is inactive for Sunday's game against the Titans.,Out
N/A,Charlie Jones,WR,Dec 15: Jones (groin) is inactive for Sunday's matchup with the Titans.,Out
N/A,Sheldon Rankins,DT,,Out
N/A,Tanner McLachlan,TE,,Out
N/A,Joe Bachie,LB,Dec 15: The Bengals placed Bachie (groin) on injured reserve Saturday.,Injured Reserve
N/A,Logan Wilson,LB,Dec 6: Wilson (knee) was placed on injured reserve Friday.,Injured Reserve
N/A,Evan McPherson,PK,Dec 4: The Bengals placed McPherson on injured reserve Wednesday with a right groin injury.,Injured Reserve
N/A,DJ Turner II,CB,"Nov 19: Bengals head coach Zac Taylor confirmed Tuesday that Turner sustained a fractured clavicle during Sunday's loss to the Chargers and will be placed on injured reserve, Geoff Hobson of the Bengals' official site reports.",Injured Reserve
N/A,Erick All Jr.,TE,Nov 5: The Bengals placed All (knee) on injured reserve Tuesday.,Injured Reserve
N/A,Zack Moss,RB,Nov 5: The Bengals placed Moss (neck) on injured reserve Tuesday.,Injured Reserve
N/A,Jaxson Kirkland,G,Oct 8: Kirkland (biceps) was placed on injured reserve Tuesday.,Injured Reserve
N/A,Dax Hill,CB,Oct 8: The Bengals placed Hill (knee) on injured reserve Tuesday.,Injured Reserve
N/A,Trent Brown,OT,"Sep 28: The Bengals placed Brown (knee) on injured reserve Saturday, Adam Schefter of ESPN reports.",Injured Reserve
N/A,Lance Robinson,CB,"Aug 29: The Bengals reverted Robinson (undisclosed) to IR on Wednesday, per the NFL's transaction log.",Injured Reserve
N/A,D'Ante Smith,OT,Aug 19: Smith (leg) was placed on injured reserve Monday.,Injured Reserve
N/A,Chris Evans,RB,Aug 19: Evans (leg) was placed on injured reserve Monday.,Injured Reserve
N/A,Cam Sample,DE,Aug 7: The Bengals placed Sample (Achilles) on injured reserve Wednesday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Dustin Hopkins,PK,"Dec 15: Head coach Kevin Stefanski said that Hopkins will kick next Sunday against the Bengals, Daniel Oyefusi of ESPN.com reports.",Out
N/A,Nick Chubb,RB,,Doubtful
N/A,Shelby Harris,DT,"Dec 15: Harris is questionable to return to Sunday's game against the Chiefs due to an elbow injury, Kelsey Russo of the Browns' official site reports.",Questionable
N/A,Myles Garrett,DE,,Questionable
N/A,Martin Emerson Jr.,CB,"Dec 15: Emerson (head) has been downgraded to out for the rest of Sunday's game against the Chiefs, Kelsey Russo of the Browns' official site reports.",Questionable
N/A,D'Onta Foreman,RB,Dec 15: Foreman (coach's decision) is inactive for Sunday's clash against Kansas City.,Out
N/A,David Njoku,TE,Dec 15: Njoku (hamstring) is inactive for Sunday's game against the Chiefs.,Out
N/A,Bailey Zappe,QB,,Out
N/A,Cedric Tillman,WR,,Out
N/A,James Houston,DE,,Out
N/A,Chigozie Anusiem,CB,,Out
N/A,Greg Newsome II,CB,Dec 10: The Browns placed Newsome (hamstring) on injured reserve Tuesday.,Injured Reserve
N/A,Jeremiah Owusu-Koramoah,LB,"Dec 9: Owusu-Koramoah (neck) will not play this Sunday against the Chiefs, Mary Kay Cabot of The Cleveland Plain Dealer reports.",Injured Reserve
N/A,Maurice Hurst II,DT,Dec 7: The Browns placed Hurst (ankle) on injured reserve Saturday.,Injured Reserve
N/A,Jedrick Wills Jr.,OT,"Dec 7: The Browns placed Wills (knee) on injured reserve Saturday, Mary Kay Cabot of The Cleveland Plain Dealer reports.",Injured Reserve
N/A,Geoff Swaim,TE,"Nov 29: Swaim (concussion) didn't practice Friday, Daniel Oyefusi of ESPN.com reports.",Injured Reserve
N/A,Dawand Jones,OT,Nov 19: Cleveland placed Jones (lower leg) on its injured reserve list Tuesday.,Injured Reserve
N/A,Tony Brown II,CB,Oct 29: Cleveland placed Brown (foot) on its injured reserve list Tuesday.,Injured Reserve
N/A,Deshaun Watson,QB,"Oct 25: Watson underwent successful surgery Friday to repair a ruptured right Achilles' tendon, Kelsey Russo of the Browns' official site reports.",Injured Reserve
N/A,Nyheim Hines,RB,"Oct 23: Browns head coach Kevin Stefanski said Wednesday that Hines (knee) won't be activated from the reserve/non-football injury list and will remain sidelined for the rest of the 2024 season, Daniel Oyefusi of ESPN.com reports.",Out
N/A,Nick Harris,C,Oct 15: The Browns placed Harris (ankle) on injured reserve Tuesday.,Injured Reserve
N/A,James Hudson III,OT,"Oct 12: Cleveland placed Hudson (shoulder) on IR on Saturday, Kelsey Russo of the Browns' official site reports.",Injured Reserve
N/A,Charley Hughlett,LS,Oct 9: Cleveland placed Hughlett (ribs) on its injured reserve list Wednesday.,Injured Reserve
N/A,Alex Wright,DE,"Oct 5: The Browns placed Wright (triceps) on injured reserve Saturday, Daniel Oyefusi of ESPN.com reports.",Injured Reserve
N/A,David Bell,WR,Sep 17: The Browns placed Bell (hip) on injured reserve Tuesday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Jourdan Lewis,CB,"Dec 15: Lewis is questionable to return to Sunday's game against the Panthers due to an elbow injury, Calvin Watkins of The Dallas Morning News reports.",Questionable
N/A,T.J. Bass,G,"Dec 15: Bass sustained a thigh injury and will not return to Sunday's game against the Panthers, Nick Harris of the Fort Worth Star-Telegram reports.",Questionable
N/A,Chuma Edoga,G,"Dec 15: Edoga (ankle) is questionable to return to Sunday's game against the Panthers, Calvin Watkins of The Dallas Morning News reports.",Questionable
N/A,Caelen Carson,CB,"Dec 15: Carson underwent season-ending surgery on his shoulder prior to last week's 27-20 loss to the Bengals, Nick Harris of The Fort Worth Star-Telegram reports.",Injured Reserve
N/A,Ryan Flournoy,WR,Dec 15: Flournoy (coach's decision) is listed as inactive Sunday in Carolina.,Out
N/A,Tyrus Wheat,DE,,Out
N/A,Deuce Vaughn,RB,,Out
N/A,Juanyeh Thomas,S,,Out
N/A,Cooper Beebe,G,,Out
N/A,Trevon Diggs,CB,"Dec 14: Diggs is expected to undergo surgery on his left knee will miss the remainder of the 2024 campaign, David Moore of The Dallas Morning News reports.",Out
N/A,DeMarvion Overshown,LB,"Dec 14: Overshown (knee) was placed on IR on Saturday, Todd Archer of ESPN.com reports.",Injured Reserve
N/A,Josh Butler,CB,Dec 9: Butler (knee) was placed on injured reserve Monday.,Injured Reserve
N/A,Zack Martin,G,Dec 9: Martin (ankle) was placed on injured reserve Monday.,Injured Reserve
N/A,DeMarcus Lawrence,DE,"Nov 29: Head coach Mike McCarthy said Friday that Lawrence (foot) is ""coming back into the fray as far as practicing,"" Todd Archer of ESPN.com reports.",Injured Reserve
N/A,Asim Richards,OT,Nov 27: The Cowboys placed Richards (ankle) on injured reserve Wednesday.,Injured Reserve
N/A,Markquese Bell,S,"Nov 23: Bell (shoulder) was placed on injured reserve Saturday, Clarence E. Hill Jr. of the Fort Worth Star-Telegram reports.",Injured Reserve
N/A,Dak Prescott,QB,Nov 18: The Cowboys placed Prescott (hamstring) on injured reserve Monday.,Injured Reserve
N/A,Sam Williams,DE,"Nov 11: The NFL lifted Williams' (knee) suspension Monday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,John Stephens Jr.,TE,"Oct 26: The Cowboys placed Stephens (knee) on injured reserve Saturday, Jon Machota of The Athletic reports.",Injured Reserve
N/A,Nathan Thomas,OT,Aug 28: Thomas (undisclosed) was placed on injured reserve by the Cowboys on Tuesday.,Injured Reserve
N/A,Earl Bostick Jr.,OT,Aug 19: Bostick (leg) was placed on the Cowboys' injured reserve Monday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Zach Wilson,QB,,Out
N/A,Levi Wallace,CB,,Out
N/A,Eyioma Uwazurike,DE,,Out
N/A,Riley Moss,CB,,Out
N/A,Nick Gargiulo,G,,Out
N/A,Frank Crum,OT,,Out
N/A,Levelle Bailey,LB,,Out
N/A,Delarrin Turner-Yell,S,"Nov 20: Turner-Yell (knee) will remain on the reserve/PUP list Wednesday, and his 21-day window to return will come to a close, Parker Gabriel of The Denver Post reports.",Out
N/A,Tyler Badie,RB,"Oct 5: The Broncos placed Badie (back) on injured reserve Saturday, Parker Gabriel of The Denver Post reports.",Injured Reserve
N/A,Alex Singleton,LB,"Oct 4: Singleton will have surgery to repair his ACL on Oct. 15, Zac Stevens of TheDNVR.com reports.",Injured Reserve
N/A,Quinn Bailey,OT,"Aug 1: Bailey (ankle) was placed on injured reserve Thursday, Aric DiLalla of the Broncos' official site reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Colby Sorsdal,OT,,Out
N/A,Trevor Nowaske,LB,,Out
N/A,Emmanuel Moseley,CB,,Out
N/A,Giovanni Manu,OT,,Out
N/A,Brodric Martin,DT,,Out
N/A,Kayode Awosika,G,,Out
N/A,Myles Adams,DE,,Out
N/A,Aidan Hutchinson,DE,"Dec 8: The Lions are holding out hope that Hutchinson (tibia/fibula) could return for the NFC Championship Game, Jay Glazer reported on Fox NFL Sunday.",Injured Reserve
N/A,Mekhi Wingo,DT,Dec 1: The Lions placed Wingo (knee) on injured reserve Saturday.,Injured Reserve
N/A,Malcolm Rodriguez,LB,Nov 30: The Lions placed Rodriguez (knee) on injured reserve Saturday.,Injured Reserve
N/A,Kalif Raymond,WR,Nov 27: The Lions placed Raymond (foot) on injured reserve Wednesday.,Injured Reserve
N/A,Ennis Rakestraw Jr.,CB,Nov 24: The Lions placed Rakestraw (hamstring) on injured reserve Saturday.,Injured Reserve
N/A,Ifeatu Melifonwu,S,Nov 19: The Lions placed Melifonwu (undisclosed) on injured reserve Tuesday.,Injured Reserve
N/A,Alex Anzalone,LB,Nov 18: The Lions placed Anzalone (forearm) on injured reserve Monday.,Injured Reserve
N/A,Derrick Barnes,LB,"Nov 13: Barnes (knee) said Wednesday that he's not ruling out a return from injured reserve later this season, Dave Birkett of the Detroit Free Press reports.",Injured Reserve
N/A,Jalen Reeves-Maybin,LB,Nov 9: The Lions placed Reeves-Maybin (neck) on injured reserve Saturday.,Injured Reserve
N/A,Kyle Peko,DT,Oct 15: The Lions placed Peko (pectoral) on injured reserve Tuesday.,Injured Reserve
N/A,Marcus Davenport,DE,Sep 24: The Lions placed Davenport (triceps) on injured reserve Tuesday.,Injured Reserve
N/A,David Bada,DT,"Aug 29: Bada (Achilles) reverted to IR on Wednesday, per the NFL's transaction log.",Injured Reserve
N/A,John Cominsky,DE,Aug 29: Cominsky (knee) was placed on injured reserve Thursday.,Injured Reserve
N/A,Antoine Green,WR,"Aug 13: Green (concussion) reverted to Detroit's reserve/injured list Tuesday after clearing waivers, per the NFL transaction log.",Injured Reserve
N/A,Connor Galvin,OT,"Aug 12: Galvin (knee) reverted to Detroit's injured reserve list Monday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,Nate Lynn,DE,Aug 11: Lynn (shoulder) was put on injured reserve by the Lions on Sunday.,Injured Reserve
N/A,Netane Muti,G,Aug 1: Muti (shoulder) was placed on IR on Thursday.,Injured Reserve
N/A,Michael Badgley,PK,Jul 27: The Lions placed Badgley (hamstring) on injured reserve Saturday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
