team,player,position,injury,status
N/A,Jon Feliciano,G,"Nov 25: Feliciano (knee) will remain on injured reserve for the remainder of the season, Matt Barrows of The Athletic reports.",Injured Reserve
N/A,Tatum Bethune,LB,"Nov 24: The 49ers placed Bethune (knee) on injured reserve Saturday, Cam Inman of The San Jose Mercury News reports.",Injured Reserve
N/A,Darrell Luter Jr.,CB,"Nov 17: Luter (pelvis) was placed on the 49ers' injured reserve Saturday, Matt Barrows of The Athletic reports.",Injured Reserve
N/A,Mitch Wishnowsky,P,"Nov 17: The 49ers placed Wishnowsky (back) on injured reserve Saturday, Matt Barrows of The Athletic reports.",Injured Reserve
N/A,Brandon Aiyuk,WR,"Nov 15: Aiyuk had surgery to repair the ACL and other damage in is right knee earlier this week, David Lombardi of The San Francisco Standard reports.",Injured Reserve
N/A,Curtis Robinson,LB,"Sep 28: San Francisco placed Robinson (knee) on injured reserve Saturday, Nick Wagoner of ESPN.com reports.",Injured Reserve
N/A,Javon Hargrave,DT,"Sep 28: The 49ers placed Hargrave (triceps) on injured reserve Saturday, Nick Wagoner of ESPN.com reports.",Injured Reserve
N/A,Ambry Thomas,CB,"Aug 29: The 49ers placed Thomas (forearm) on injured reserve Wednesday, Nick Wagoner of ESPN.com reports.",Injured Reserve
N/A,Elijah Mitchell,RB,"Aug 28: Mitchell will have surgery on his hamstring after being placed on injured reserve Tuesday, Nick Wagoner of ESPN.com reports.",Injured Reserve
N/A,Drake Jackson,DE,"Aug 8: The 49ers placed Jackson on the reserve/PUP list with a knee injury Thursday and is expected to miss the 2024 season, Field Yates of ESPN reports.",Out
N/A,N/A,N/A,N/A,N/A
N/A,Artie Burns,CB,"Dec 15: Seattle activated Burns (toe) off injured reserve Saturday, but he remains doubtful to suit up Sunday against Green Bay, Bob Condotta of The Seattle Times reports.",Doubtful
N/A,Jerrick Reed II,S,"Dec 14: Reed (quadriceps) was placed on injured reserve Saturday, Bob Condotta of The Seattle Times reports.",Injured Reserve
N/A,K'Von Wallace,S,"Dec 13: Wallace (ankle) has been ruled out ahead of Sunday night's matchup against the Packers, John Boyle of the Seahawks' official site reports.",Injured Reserve
N/A,Brady Russell,TE,"Dec 13: Russell (foot) has been ruled out for Sunday's game against the Packers, Bob Condotta of The Seattle Times reports.",Out
N/A,Kenneth Walker III,RB,"Dec 13: Coach Mike Macdonald said Friday that Walker ""hasn't practiced yet (this week), so we listed him as doubtful"" for Sunday night's game against the Packers, John Boyle of the Seahawks' official site reports.",Doubtful
N/A,Tre Brown,CB,"Dec 13: Brown (hamstring) has been ruled out for Sunday's game against the Packers, Bob Condotta of The Seattle Times reports.",Out
N/A,Stone Forsythe,OT,Dec 6: Forsythe (hand) has been ruled out for Sunday's game against the Cardinals.,Injured Reserve
N/A,Anthony Bradford,G,"Nov 27: The Seahawks placed Bradford (ankle) on injured reserve Wednesday, John Boyle of the team's official site reports.",Injured Reserve
N/A,George Fant,OT,"Nov 13: The Seahawks placed Fant (knee) on injured reserve Wednesday, John Boyle of the team's official site reports.",Injured Reserve
N/A,Cameron Young,DT,"Nov 3: The Seahawks placed Young (knee) on injured reserve Saturday, John Boyle of the team's official site reports.",Injured Reserve
N/A,Joshua Onujiogu,LB,"Aug 7: Onujiogu (undisclosed) reverted to Seattle's injured reserve Wednesday after going unclaimed while on waivers, per the NFL's transaction log.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Antoine Winfield Jr.,S,,Out
N/A,Jose Ramirez,LB,,Out
N/A,Royce Newman,G,,Out
N/A,Mike Edwards,S,,Out
N/A,Devin Culp,TE,,Out
N/A,K.J. Britt,LB,,Out
N/A,Earnest Brown IV,DE,,Out
N/A,Markees Watts,LB,"Dec 13: Watts (knee) has been ruled out for Sunday's battle against the Chargers, Brianna Dix of the Buccaneers' official site reports.",Injured Reserve
N/A,Kameron Johnson,WR,"Dec 13: Johnson (ankle) has been ruled out for Sunday's contest against the Chargers, Brianna Dix of the Buccaneers' official site reports.",Injured Reserve
N/A,Troy Hill,CB,"Dec 6: Hill (foot/knee) was placed on injured reserve Friday, Jenna Laine of ESPN.com reports.",Injured Reserve
N/A,Jordan Whitehead,S,"Nov 29: Whitehead (pectoral) was placed on injured reserve Friday, Scott Smith of the Buccaneers' official site reports.",Injured Reserve
N/A,Chris Godwin,WR,"Oct 23: The Buccaneers placed Godwin (ankle) on injured reserve Wednesday, Scott Smith of the team's official site reports.",Injured Reserve
N/A,SirVocea Dennis,LB,"Oct 23: Coach Todd Bowles said Wednesday that Dennis (shoulder) won't be available again in 2024 unless the Buccaneers reach the playoffs, Rick Stroud of the Tampa Bay Times reports.",Injured Reserve
N/A,Cody Thompson,WR,,Out
N/A,Bryce Hall,CB,"Sep 10: The Buccaneers placed Hall (ankle) on injured reserve Tuesday, Jenna Laine of ESPN.com reports.",Injured Reserve
N/A,Chase Edmonds,RB,"Aug 27: Edmonds was placed on season-ending injured reserve Monday due to a knee injury, Greg Auman of Fox Sports reports.",Injured Reserve
N/A,Silas Dzansi,OT,"Aug 8: The Buccaneers placed Dzansi on injured reserve Thursday due to a knee injury, Scott Smith of the team's official site reports.",Injured Reserve
N/A,Sua Opeta,G,"Aug 2: Tampa Bay placed Opeta on injured reserve Friday due to his torn ACL, Rick Stroud of the Tampa Bay Times reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Luke Gifford,LB,"Dec 15: Gifford (concussion) has been ruled out for the remainder of Sunday's matchup versus the Titans, Paul Kuharsky of PaulKuharsky.com reports.",Questionable
N/A,Jerome Baker,LB,Dec 15: Baker (coach's decision) is inactive Sunday versus Cincinnati.,Out
N/A,Otis Reese IV,LB,Dec 15: Reese is inactive for Sunday's clash against Cincinnati due to an ankle injury.,Out
N/A,Roger McCreary,CB,Dec 15: McCreary (shoulder) is inactive for Sunday's game against Cincinnati.,Out
N/A,Joshua Kelley,RB,,Out
N/A,Jha'Quan Jackson,WR,,Out
N/A,Tre Avery,CB,,Out
N/A,Andrew Rupcich,OT,"Dec 12: The Titans placed Rupcich (tricep) on injured reserve Nov. 2, Jim Wyatt of the team's official site reports.",Injured Reserve
N/A,Logan Bruss,G,"Dec 7: The Titans placed Bruss (knee - ACL) on injured reserve Saturday, Jim Wyatt of the team's official site reports.",Injured Reserve
N/A,Jaelyn Duncan,OT,"Dec 6: Duncan (hamstring) has been ruled out ahead of Sunday's matchup against the Jaguars, Jim Wyatt of the Titans' official site reports.",Injured Reserve
N/A,Treylon Burks,WR,"Dec 4: Head coach Brian Callahan said Wednesday that Burks won't return from injured reserve this season after undergoing surgery to address ACL damage, Jim Wyatt of the Titans' official site reports.",Injured Reserve
N/A,Jack Gibbens,LB,"Nov 23: Tennessee placed Gibbens (ankle) on injured reserve Saturday, Jim Wyatt of the Titans' official site reports.",Injured Reserve
N/A,L'Jarius Sneed,CB,"Nov 23: Tennessee placed Sneed (quadriceps) on injured reserve Saturday, Jim Wyatt of the Titans' official site reports.",Injured Reserve
N/A,Lloyd Cushenberry III,C,"Nov 6: Cushenberry (Achilles) was placed on injured reserve Wednesday, Jim Wyatt of the Titans' official site reports.",Injured Reserve
N/A,Quandre Diggs,S,"Nov 6: Diggs (foot) was placed on injured reserve Wednesday, Jim Wyatt of the Titans' official site reports.",Injured Reserve
N/A,Colton Dowell,WR,"Oct 23: Dowell (knee) will remain on the reserve/PUP list for Week 8, Jim Wyatt of the Titans' official site reports.",Out
N/A,TK McLendon Jr.,DE,Aug 28: McLendon (toe) was placed on injured reserve Tuesday.,Injured Reserve
N/A,Chance Campbell,LB,Aug 28: Campbell (knee) was placed on IR on Tuesday.,Injured Reserve
N/A,Garret Wallow,LB,"Aug 20: The Titans placed Wallow (pectoral) on the reserve/injured list Tuesday, Jim Wyatt of the team's official site reports.",Injured Reserve
N/A,Marlon Davidson,DT,"Aug 16: Davidson (biceps) was placed on injured reserve Friday, Jim Wyatt of the Titans' official site reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Jeremy Chinn,S,Dec 15: Chinn is being evaluated for a concussion and is questionable to return to Sunday's game against the Saints.,Questionable
N/A,Zach Ertz,TE,Dec 15: Ertz won't return to Sunday's game in New Orleans due to a concussion.,Questionable
N/A,Tyler Biadasz,C,Dec 15: Biadasz (illness) is inactive for Sunday's game in New Orleans.,Out
N/A,Jeff Driskel,QB,Dec 15: Driskel (coach's decision) is inactive for Sunday's game against the Saints.,Out
N/A,K.J. Osborn,WR,Dec 15: Osborn (coach's decision) is inactive for Sunday's game against the Saints.,Out
N/A,Zane Gonzalez,PK,Dec 15: Gonzalez (left foot) is listed as inactive Sunday at New Orleans.,Out
N/A,Phidarian Mathis,DT,,Out
N/A,Dominique Hampton,S,,Out
N/A,Michael Davis,CB,,Out
N/A,Noah Brown,WR,"Dec 14: Brown (kidney) was placed on injured reserve Saturday, Ben Standig of The Athletic reports.",Injured Reserve
N/A,Austin Ekeler,RB,"Dec 3: Ekeler said Tuesday that he's still dealing with concussion symptoms and neck pain, and he remains in the league's concussion protocol, Ben Standig of The Athletic reports.",Injured Reserve
N/A,Austin Seibert,PK,"Nov 27: Commanders head coach Dan Quinn said Seibert was placed on injured reserve Tuesday due to a groin injury, Nicki Jhabvala of The Washington Post reports.",Injured Reserve
N/A,Colson Yankoff,TE,Nov 9: Yankoff (hamstring) was placed on injured reserve by the Commanders on Saturday.,Injured Reserve
N/A,Jonathan Allen,DT,Oct 16: The Commanders placed Allen (pectoral) on injured reserve Wednesday.,Injured Reserve
N/A,Norell Pollard,DT,"Aug 28: Pollard (undisclosed) was placed on injured reserve by the Commanders on Tuesday, Zach Selby of the team's official website reports.",Injured Reserve
